customer_id,signup_date,region,channel,annual_spend_usd,avg_basket_items,visit_freq_month,discount_rate_pct,return_rate_pct,loyalty_score,satisfaction_score,avg_order_value_usd
C0001,07/08/2024,North,App,"$1,987.79",12.703750757333431,8.64,7.4,2.6%,77.88303874915744,88.72322673819761,$34.80
C0002,06/04/2024,West,Store,"4,699.80 $",16.08227033361976,9.92,8.9,0.6,100.0,87.89630867088088,$125.87
C0003,2024-10-08,North,Store,$725.29,3.6274732814177666,1.34,16.0%,3.4,37.414272727587516,61.11461896338605,$133.57
C0004,2024-08-21,South,Web,"$4,466.65",16.137135330093418,10.37,16.4%,3.6,100.0,86.28856085992676,$75.75
C0005,2024-10-16,North,Web,"USD 1,988",10.591628202837514,7.65,13.1%,4.9%,73.76263930166186,78.94661375845074,$65.62
C0006,11/11/2024,East,App,"USD 2,561",10.80005628136324,,5.0,2.3,94.96732705298353,81.00909269758942,USD 153
C0007,01-04-2023,North,Web,"USD 3,903",16.5015242857434,7.98,6.4,5.3,93.69811411435983,95.39922017223664,$136.67
C0008,2023-04-29,East,Store,"USD 2,251",11.26779054926217,7.21,15.6,0.0,72.77658399483468,82.54054429992823,USD 58
C0009,02-18-2024,South,App,"USD 1,207",4.221995157378522,1.18,23.6%,12.9,45.807390959073174,53.514004962270754,USD 228
C0010,08-23-2024,South,App,870.21 $,4.1816559197695575,3.94,24.3,8.6%,43.8321432193396,52.885444894620505,$45.40
C0011,26/09/2024,East,App,"USD 1,482",3.781916199060823,2.45,29.3,14.5%,71.78623116163669,73.60891758880085,$137.60
C0012,07-20-2024,North,Store,"$1,158.22",6.9281785484712275,4.06,28.6,9.3,55.044102624384514,72.47525375356567,USD 68
C0013,"Oct 06, 2024",West,Store,"USD 2,119",10.143780202006548,6.4,4.6,4.8,76.19772876753531,89.49642452457118,USD 71
C0014,27/06/2023,East,App,"$3,535.23",16.004441357515507,8.27,3.6,1.2,87.55013778345094,85.0658655213594,$98.56
C0015,28/08/2024,West,Web,"$2,601.73",9.748687009018447,6.9,9.5%,3.8,60.77630781560083,88.6992204988265,$91.51
C0016,04/08/2023,North,App,"1,917.66 $",8.667270932622475,7.65,6.1,5.4%,74.99229116315372,98.72684314209829,64.26 $
C0017,"Feb 04, 2023",West,Store,$550.21,4.445712230062569,4.49,18.0,4.3%,57.136573526519555,80.09392553821132,USD 30
C0018,2024-11-29,North,Web,"USD 2,954",13.347957622911823,6.29,16.1,5.2%,76.53144434797524,85.93109709292754,107.41 $
C0019,"Feb 18, 2024",North,Store,$599.07,3.28757438308721,3.49,20.6,7.1,40.630552494003595,62.828461700802904,USD 44
